time,BE100,BE211,BE332,EL30X,EL522,EL612
2016-12-19,158.0,207.0,152.0,619.0,238.0,64.0
2016-12-26,221.0,200.0,130.0,641.0,249.0,90.0
2017-01-02,198.0,241.0,183.0,770.0,315.0,121.0
2017-01-09,229.0,234.0,198.0,844.0,366.0,96.0
2017-01-16,217.0,243.0,178.0,794.0,294.0,78.0
2017-01-23,219.0,268.0,165.0,732.0,252.0,68.0
2017-01-30,220.0,317.0,199.0,726.0,259.0,65.0
2017-02-06,183.0,311.0,164.0,719.0,212.0,52.0
2017-02-13,194.0,265.0,170.0,616.0,211.0,56.0
2017-02-20,197.0,225.0,128.0,582.0,229.0,61.0
2017-02-27,187.0,212.0,149.0,585.0,201.0,50.0
2017-03-06,195.0,188.0,125.0,599.0,187.0,58.0
2017-03-13,178.0,145.0,146.0,599.0,203.0,58.0
2017-03-20,164.0,208.0,133.0,613.0,215.0,55.0
2017-03-27,164.0,173.0,116.0,531.0,200.0,49.0
2017-04-03,147.0,183.0,130.0,536.0,208.0,62.0
2017-04-10,149.0,183.0,115.0,559.0,209.0,50.0
2017-04-17,155.0,157.0,136.0,505.0,213.0,58.0
2017-04-24,155.0,204.0,144.0,538.0,215.0,53.0
2017-05-01,179.0,209.0,119.0,579.0,186.0,53.0
2017-05-08,176.0,186.0,120.0,510.0,199.0,61.0
2017-05-15,174.0,206.0,124.0,457.0,193.0,57.0
2017-05-22,144.0,169.0,131.0,507.0,185.0,45.0
2017-05-29,173.0,192.0,126.0,521.0,238.0,47.0
2017-06-05,131.0,166.0,112.0,469.0,168.0,57.0
2017-06-12,156.0,190.0,116.0,506.0,221.0,45.0
2017-06-19,182.0,185.0,127.0,509.0,213.0,49.0
2017-06-26,166.0,182.0,116.0,643.0,231.0,76.0
2017-07-03,180.0,178.0,143.0,668.0,216.0,71.0
2017-07-10,185.0,157.0,117.0,592.0,225.0,48.0
2017-07-17,159.0,171.0,121.0,531.0,215.0,51.0
2017-07-24,139.0,170.0,120.0,536.0,175.0,45.0
2017-07-31,158.0,163.0,114.0,521.0,205.0,52.0
2017-08-07,162.0,181.0,119.0,665.0,275.0,52.0
2017-08-14,157.0,184.0,115.0,555.0,190.0,51.0
2017-08-21,187.0,153.0,117.0,487.0,174.0,50.0
2017-08-28,157.0,196.0,123.0,518.0,192.0,38.0
2017-09-04,175.0,173.0,120.0,482.0,187.0,57.0
2017-09-11,143.0,173.0,116.0,508.0,227.0,56.0
2017-09-18,166.0,177.0,105.0,467.0,187.0,52.0
2017-09-25,170.0,163.0,136.0,437.0,178.0,44.0
2017-10-02,141.0,177.0,138.0,507.0,172.0,43.0
2017-10-09,176.0,215.0,139.0,528.0,190.0,47.0
2017-10-16,179.0,179.0,144.0,539.0,224.0,59.0
2017-10-23,165.0,177.0,108.0,474.0,204.0,54.0
2017-10-30,190.0,149.0,125.0,522.0,212.0,59.0
2017-11-06,170.0,184.0,104.0,546.0,200.0,65.0
2017-11-13,162.0,198.0,138.0,537.0,201.0,66.0
2017-11-20,175.0,189.0,121.0,546.0,203.0,56.0
2017-11-27,149.0,151.0,141.0,587.0,212.0,60.0
2017-12-04,186.0,190.0,146.0,557.0,190.0,65.0
2017-12-11,186.0,225.0,150.0,534.0,224.0,63.0
2017-12-18,179.0,239.0,138.0,603.0,214.0,62.0
2017-12-25,178.0,228.0,154.0,603.0,232.0,66.0
2018-01-01,175.0,203.0,161.0,592.0,232.0,60.0
2018-01-08,168.0,180.0,155.0,601.0,219.0,57.0
2018-01-15,178.0,219.0,149.0,506.0,248.0,46.0
2018-01-22,181.0,214.0,132.0,563.0,230.0,63.0
2018-01-29,196.0,220.0,166.0,603.0,237.0,65.0
2018-02-05,181.0,223.0,144.0,608.0,236.0,58.0
2018-02-12,200.0,226.0,170.0,554.0,230.0,50.0
2018-02-19,184.0,236.0,175.0,602.0,215.0,65.0
2018-02-26,226.0,257.0,181.0,564.0,236.0,61.0
2018-03-05,251.0,294.0,147.0,576.0,251.0,59.0
2018-03-12,200.0,242.0,158.0,528.0,225.0,67.0
2018-03-19,210.0,241.0,132.0,573.0,209.0,69.0
2018-03-26,180.0,242.0,150.0,558.0,216.0,54.0
2018-04-02,187.0,203.0,133.0,515.0,228.0,71.0
2018-04-09,167.0,185.0,139.0,544.0,207.0,50.0
2018-04-16,162.0,194.0,147.0,552.0,184.0,54.0
2018-04-23,155.0,172.0,138.0,500.0,206.0,69.0
2018-04-30,157.0,161.0,124.0,548.0,199.0,40.0
2018-05-07,151.0,178.0,125.0,488.0,176.0,42.0
2018-05-14,153.0,170.0,94.0,501.0,186.0,41.0
2018-05-21,144.0,187.0,124.0,480.0,217.0,63.0
2018-05-28,181.0,167.0,129.0,514.0,207.0,58.0
2018-06-04,137.0,136.0,130.0,576.0,213.0,53.0
2018-06-11,140.0,142.0,112.0,552.0,193.0,62.0
2018-06-18,160.0,153.0,114.0,512.0,199.0,49.0
2018-06-25,168.0,213.0,117.0,509.0,188.0,49.0
2018-07-02,182.0,209.0,116.0,533.0,215.0,57.0
2018-07-09,157.0,164.0,128.0,534.0,197.0,53.0
2018-07-16,164.0,173.0,118.0,597.0,220.0,57.0
2018-07-23,172.0,195.0,126.0,563.0,197.0,64.0
2018-07-30,160.0,196.0,124.0,564.0,187.0,53.0
2018-08-06,195.0,169.0,119.0,562.0,184.0,51.0
2018-08-13,177.0,145.0,127.0,536.0,213.0,59.0
2018-08-20,144.0,144.0,122.0,557.0,238.0,52.0
2018-08-27,140.0,179.0,125.0,552.0,210.0,56.0
2018-09-03,171.0,175.0,112.0,572.0,221.0,52.0
2018-09-10,142.0,141.0,126.0,520.0,191.0,61.0
2018-09-17,161.0,173.0,124.0,547.0,184.0,72.0
2018-09-24,146.0,177.0,108.0,507.0,196.0,53.0
2018-10-01,143.0,191.0,119.0,525.0,208.0,47.0
2018-10-08,174.0,156.0,125.0,534.0,212.0,61.0
2018-10-15,167.0,217.0,106.0,518.0,182.0,54.0
2018-10-22,157.0,176.0,111.0,540.0,205.0,48.0
2018-10-29,149.0,171.0,111.0,517.0,213.0,60.0
2018-11-05,161.0,212.0,123.0,516.0,209.0,59.0
2018-11-12,176.0,190.0,118.0,562.0,201.0,59.0
2018-11-19,153.0,190.0,136.0,588.0,237.0,73.0
2018-11-26,186.0,173.0,146.0,534.0,207.0,62.0
2018-12-03,190.0,185.0,154.0,600.0,207.0,67.0
2018-12-10,196.0,196.0,124.0,601.0,212.0,66.0
2018-12-17,175.0,221.0,180.0,601.0,235.0,60.0
2018-12-24,161.0,205.0,137.0,616.0,231.0,68.0
2018-12-31,187.0,191.0,154.0,624.0,247.0,52.0
2019-01-07,195.0,231.0,140.0,677.0,298.0,79.0
2019-01-14,203.0,213.0,149.0,690.0,294.0,76.0
